L35,こまります,困ります,be in trouble / have a problem
L35,つけます[まるを～],付けます[丸を～],draw (a circle) / mark (with a circle)
L35,ひろいます,拾います,pick up
L35,かかります[でんわが～],[電話が～],get through (on the telephone) / have (a phone call)
L35,らく[な],楽[な],comfortable / easy
L35,ただしい,正しい,correct / right
L35,めずらしい,珍しい,rare / uncommon
L35,かた,方,person (respectful equivalent ofひと )
L35,むこう,向こう,over there / the other side
L35,しま,島,island
L35,むら,村,village
L35,みなと,港,port / harbor
L35,きんじょ,近所,neighborhood / vicinity
L35,おくじょう,屋上,rooftop
L35,かいがい,海外,overseas
L35,やまのぼり,山登り,mountain climbing
L35,ハイキング,,hiking
L35,きかい,機会,chance / opportunity
L35,きょか,許可,permission
L35,まる,丸,circle
L35,そうさ,操作,operation
L35,ほうほう,方法,method
L35,せつび,設備,equipment / facilities
L35,カーテン,,curtain
L35,ひも,,string
L35,ふた,,lid / cover / cap
L35,は,葉,leaf
L35,きょく,曲,a piece of music
L35,たのしみ,楽しみ,pleasure / enjoyment / expectation
L35,もっと,,more
L35,はじめに,初めに,first
L35,これでおわります,これで終わります,We’ll finish now
L35,はこね,箱根,resort in Kanagawa Prefecture
L35,にっこう,日光,tourist spot in Tochigi Prefecture
L35,はくば,白馬,resort in Nagano Prefecture
L35,アフリカ,,Africa
L35,それなら,,in that case
L35,やこうバス,夜行バス,night bus
L35,りょこうしゃ,旅行者,travel agency
L35,くわしい,詳しい,detailed
L35,スキーじょう,スキー場,ski resort / ski ground
L35,くさつ,草津,resort in Gunma Prefecture
L35,しがこうげん,志賀高原,national park in Nagano Prefecture
L35,しゅ,朱,red
L35,まじわります,交わります,keep company with
L35,ことわざ,,proverb
L35,なかよくします,仲よくします,be on good terms with
L35,ひつよう[な],必要[な],necessary / essential
L36,とどきます[にもつが～],届きます[荷物が～],(parcels) be delivered
L36,でます[しあいに～],出ます[試合に～],participate (in the game)
L36,うちます[ワープロを～],打ちます,type (on a word processor)
L36,ちょきんします,貯金します,save money
L36,ふとります,太ります,get flat
L36,やせます,,get slim / lose weight
L36,すぎます[７じを～],過ぎます[７時を～],pass (7 o’clock)
L36,なれます[しゅうかんに～],慣れます[習慣に～],get accustomed to (the customs)
L36,かたい,硬い,hard / tough / solid
L36,やわらかい,軟らかい,soft / tender
L36,でんし～,電子～,electronic ~
L36,けいたい～,携帯～,portable ~
L36,こうじょう,工場,factory
L36,けんこう,健康,health
L36,けんどう,剣道,kendo (Japanese style fencing)
L36,まいしゅう,毎週,every week
L36,まいつき,毎月,every month
L36,まいとし（まいねん）,毎年,every year
L36,やっと,,finally
L36,かなり,,fairly
L36,かならず,必ず,without fail / by any means
L36,ぜったいに,絶対に,absolutely (used with negatives)
L36,じょうずに,上手に,well / skillfully
L36,できるだけ,,as much as possible
L36,このごろ,,these days
L36,～ずつ,,~ (some amount) per (some suit)
L36,そのほうが～,,That is more ~
L36,ショパン,,Chopin / Polish musician (1810-49)
L36,おきゃくさま,お客様,guest / customer
L36,とくべつ[な],特別[な],special
L36,していらっしゃいます,,be doing (respectful equivalent of しています)
L36,すいえい,水泳,swimming
L36,～とか、～とか,,~ / ~ / and so on
L36,タンゴ,,tango
L36,チャレンジします,,challenge
L36,きもち,気持ち,feeling / enthusiasm
L36,のりもの,乗り物,vehicle / means of transportation
L36,れきし,歴史,history
L36,～せいき,～世紀,#NAME?
L36,とおく,遠く,far / remote place
L36,きしゃ,汽車,locomotive
L36,きせん,汽船,steamboat
L36,おおぜいの～,大勢の～,many (people)
L36,はこびます,運びます,carry / transport
L36,とびます,飛びます,fly
L36,あんぜん[な],安全[な],safe
L36,うちゅう,宇宙,space / universe
L36,ちきゅう,地球,earth
L36,ライトきょうだい,ライト兄弟,Wright brothers / American pioneers in aviation
L37,ほめます,褒めます,praise
L37,しかります,,scold
L37,さそいます,誘います,invite / ask someone to join
L37,おこします,起こします,wake (someone) up
L37,しょうたいします,招待します,invite
L37,たのみます,頼みます,ask / request
L37,ちゅういします,注意します,warn / advise
L37,とります,,rob / steal
L37,ふみます,踏みます,step on (someone’s foot)
L37,こわします,壊します,break / destroy
L37,よごします,汚します,make ~ dirty
L37,おこないます,行います,hold / carry out / practice
L37,ゆしゅつします,輸出します,export
L37,ゆにゅうします,輸入します,import
L37,ほんやくします,翻訳します,translate
L37,はつめいします,発明します,invent
L37,はっけんします,発見します,discover
L37,せっけいします,設計します,design / plan
L37,こめ,米,rice
L37,むぎ,麦,barley / wheat
L37,せきゆ,石油,oil
L37,げんりょう,原料,raw material
L37,デート,,date
L37,どろぼう,泥棒,thief / robber
L37,けいかん,警官,policeman
L37,けんちくか,建築家,architect
L37,かがくしゃ,科学者,scientist
L37,まんが,漫画,comics
L37,せかいじゅう,世界中,all over the world
L37,～じゅう,～中,all over ~
L37,～によって,,by ~
L37,よかったですね,,That’s lucky / isn’t it
L37,ドミニカ,,Dominica
L37,げんじものがたり,源氏物語,“The Tale of Genji” (Japanese novel)
L37,むらさきしきぶ,紫式部,Heian Period (9 th century) female novelist who wrote “The Tale of Genji” (973?-1014?)
L37,グラハム・ベル,,Alexander Graham Bell / American inventor (1847-1922)
L37,とうしょうぐう,東照宮,shrine dedicated to Tokugawa Ieyasu in Nikko / Tochigi Prefecture
L37,えどじだい,江戸時代,Edo Period (1603-1868)
L37,サウジアラビア,,Saudi Arabia
L37,うめたてます,埋め立てます,reclaim
L37,ぎじゅつ,技術,technology / technique
L37,とち,土地,land
L37,そうおん,騒音,noise
L37,りようします,利用します,use
L37,アクセス,,access
L37,ごうか[な],豪華[な],gorgeous
L37,ちょうこく,彫刻,engraving / carving / sculpture
L37,ねむります,眠ります,sleep
L37,ほります,彫ります,engrave / carve
L37,なかま,仲間,colleague / friend
L37,そのあと,,after that
L37,いっしょうけんめい,一生懸命,with all one’s effort
L37,ねずみ,,mouse
L37,いっぴきもいません,一匹もいません,There is not a single (mouse)
L37,ねむりねこ,眠り猫,The sleeping cat
L37,ひだりじんごろう,左甚五郎,famous Japanese sculptor of the Edo Period (1594-1651)
L38,そだてます,育てます,breed / bring up
L38,はこびます,運びます,carry / transport
L38,なくなります,亡くなります,pass away (euphemistic expression for しにます)
L38,にゅういんします,入院します,enter hospital
L38,たいいんします,退院します,leave hospital
L38,いれます[でんげんを～],入れます[電源を～],turn on (the power switch)
L38,きります[でんげん～ ],切ります[電源を～],turn off (the power switch)
L38,かけます[かぎを～],掛けます,lock
L38,きもちがいい,気持ちがいい,pleasant / agreeable
L38,きもちがわるい,気持ちが悪い,unpleasant / disgusting
L38,おおきな～,大きな～,large ~
L38,ちいさな～,小さな～,small ~
L38,あかちゃん,赤ちゃん,baby
L38,しょうがっこう,小学校,elementary school
L38,ちゅうがっこう,中学校,junior high school
L38,えきまえ,駅前,the area in front of the station
L38,かいがん,海岸,seaside / seashore
L38,うそ,,lie / fib
L38,しょるい,書類,document / papers
L38,でんげん,電源,power switch
L38,～せい,～製,made in ~
L38,[あ]いけない,,Oops!/ Oh / no! (used when one has made a mistake)
L38,おさきに[しつれいします],お先に[失礼します],Excuse me (for leaving before you)
L38,げんばくドーム,原爆ドーム,dome commemorating the atomic bombing of Hiroshima
L38,かいらん,回覧,circular / sending around
L38,けんきゅうしつ,研究室,study room / professor’s office / laboratory
L38,きちんと,,neatly / tidily
L38,せいりします,整理します,put (things) in order / tidy up
L38,～というほん,～という本,the book titled ~ / the book named ~
L38,～さつ,～冊,(counter for books / etc.)
L38,はんこ,,seal stamp
L38,おします[はんこを～],押します,affix (a seal)
L38,ふたご,双子,twins
L38,しまい,姉妹,sisters
L38,５ねんせい,５年生,fifth grade / fifth year
L38,にています,似ています,resemble / be like
L38,せいかく,性格,character
L38,おとなしい,,quiet
L38,せわをします,世話をします,take care
L38,じかんがたちます,時間がたちます,time pass by
L38,だいすき[な],大好き[な],like very much
L38,～てん,～点,~ points
L38,クラス,,class
L38,けんかします,,quarrel / fight
L38,ふしぎ[な],不思議[な],mysterious / strange
L39,こたえます[しつもんに～],答えます[質問に～],answer (a question)
L39,たおれます[ビルが～],倒れます,(a building) fall down
L39,やけます [うちが～] [パンが～] [にくが～],焼けます [肉が～],(a house) burn down (bread) be baked (meat) be roasted / be grilled
L39,とおります[みちを～],通ります[道を～],pass (a long street)
L39,しにます,死にます,die
L39,びっくりします,,be surprised
L39,がっかりします,,be disappointed
L39,あんしんします,安心します,be relieved
L39,ちこくします,遅刻します,be late / come late
L39,そうたいします,早退します,leave (work or school) earlier than usual
L39,けんかします,,quarrel / fight
L39,りこんします,離婚します,divorce
L39,ふくざつ[な],複雑[な],complicated / complex
L39,じゃま[な],邪魔[な],obstructive / in the way
L39,きたない,汚い,dirty
L39,うれしい,,glad / happy
L39,かなしい,悲しい,sad
L39,はずかしい,恥ずかしい,embarrassed / ashamed
L39,じしん,地震,earthquake
L39,たいふう,台風,typhoon
L39,かじ,火事,fire
L39,じこ,事故,accident
L39,[お]みあい,[お]見合い,interview with a view to marriage
L39,でんわだい,電話代,telephone charge
L39,～だい,～代,charge / fare / fee
L39,フロント,,front desk / reception desk
L39,～ごうしつ,～号室,room number ~
L39,あせ[～をかきます],汗,perspiration (perspire)
L39,タオル,,towel
L39,せっけん,,soap
L39,おおぜい,大勢,a great number of people
L39,おつかれさまでした,お疲れさまでした,Thank you for your hard work (used to express appreciation for a colleague’s or subordinate’s work)
L39,うかがいます,伺います,I’m coming (humble way of saying いきます)
L39,とちゅうで,途中で,on the way / in the midst of
L39,トラック,,truck / lorry
L39,ぶつかります,,bump / collide
L39,ならびます,並びます,stand in a queue / line up
L39,おとな,大人,adult
L39,ようふく,洋服,Western clothes
L39,せいようかします,西洋化します,be Westernized
L39,あいます,合います,fit / suit
L39,いまでは,今では,now
L39,せいじんしき,成人式,coming-of-age celebration
L40,かぞえます,数えます,count
L40,はかります,測ります、量ります,measure / weigh
L40,たしかめます,確かめます,confirm / make sure
L40,あいます[サイズが～],合います,(the size) fit
L40,しゅっぱつします,出発します,depart
L40,とうちゃくします,到着します,arrive
L40,よいます,酔います,get drunk
L40,きけん[な],危険[な],dangerous
L40,ひつよう[な],必要[な],necessary
L40,うちゅう,宇宙,space / universe
L40,ちきゅう,地球,earth
L40,ぼうねんかい,忘年会,year-end party
L40,しんねんかい,新年会,New Year’s party
L40,にじかい,二次回,second party
L40,たいかい,大会,mass meeting / convention
L40,マラソン,,marathon
L40,コンテスト,,contest
L40,おもて,表,face / front
L40,うら,裏,back (side)
L40,へんじ,返事,reply
L40,もうしこみ,申し込み,application
L40,ほんとう,,truth / fact
L40,まちがい,,mistake
L40,きず,傷,defect / wound / scratch
L40,ズボン,,trousers
L40,ながさ,長さ,length
L40,おもさ,重さ,weight
L40,たかさ,高さ,height
L40,おおきさ,大きさ,size / scale
L40,～びん,～便,flight / flight number
L40,～ごう,～号,train number / typhoon number / etc.
L40,～こ,～個,(counter for small objects)
L40,～ほん、ぼん、ぽん,本,(counter for long objects)
L40,～はい、ばい、ぱい,杯,glass or cup of (counter for full cups /  glasses / etc.)
L40,キロ,,kilograms / kilometers
L40,グラム,,grams
L40,センチ,,centimeters
L40,ミリ,,millimeters
L40,～いじょう,～以上,not less than ~ / over ~
L40,～いか,～以下,no more than ~ / under ~
L40,さあ,,well / let me see (used when unsure of something)
L40,ゴッホ,,Vincent van Gogh / Dutch painter (1853-90)
L40,ゆきまつり,雪祭り,Snow Festival in Sapporo
L40,のぞみ,,name of Shinkansen train
L40,JL,,Japan Airlines
L40,どうでしょうか,,How is ~ ? (polite way of saying どうですか)
L40,クラス,,class
L40,テスト,,text / examination
L40,せいせき,成績,performance / score / result
L40,ところで,,by the way
L40,いっらしゃいます,,come (respectful equivalent of きます)
L40,ようす,様子,situation / condition / appearance
L40,じけん,事件,incident / case
L40,オートバイ,,motorcycle
L40,ばくだん,爆弾,bomb
L40,つみます,積みます,load / pile up
L40,うんてんしゅ,運転手,driver
L40,はなれた,離れた,remote
L40,きゅうに,急に,suddenly
L40,うごかします,動かします,start / operate / move
L40,いっしょうけんめい,一生懸命,will all one’s effort
L40,はんにん,犯人,suspect / criminal
L40,てにいれます,手に入れます,obtain / get
L40,いまでも,今でも,even now
L40,うわさします,,gossip
L41,いただきます,,receive (humble equivalent ofもらいます)
L41,くださいます,,give (respectful equivalent ofくれます)
L41,やります,,give (to a younger person or subordinate)
L41,よびます,呼びます,invite
L41,とりかえます,取り替えます,exchange
L41,しんせつにします,親切にします,be kind to
L41,かわいい,,lovely / cute
L41,おいわい,お祝い,celebration / gift
L41,おとしだま,お年玉,money given as New Year’s gift
L41,[お]みまい,[お]見舞い,expression of sympathy / consolatory gift to a sick person
L41,きょうみ,興味,interest
L41,じょうほう,情報,information
L41,ぶんぽう,文法,grammar
L41,はつおん,発音,pronunciation
L41,さる,,ape / monkey
L41,えさ,,feed / bait
L41,おもちゃ,,toy
L41,えほん,絵本,picture book
L41,えはがき,絵はがき,picture postcard
L41,ドライバー,,screwdriver
L41,ハンカチ,,handkerchief
L41,くつした,靴下,socks / stockings
L41,てぶくろ,手袋,gloves
L41,ゆびわ,指輪,ring
L41,バッグ,,bag
L41,そふ,祖父,(my) grandfather
L41,そぼ,祖母,(my) grandmother
L41,まご,孫,grandchild
L41,おじ,,(my) uncle
L41,おじさん,,(someone else’s) uncle
L41,おば,,(my) aunt
L41,おばさん,,(someone else’s) aunt
L41,おととし,,the year before last
L41,はあ,,yes / I see
L41,もうしわけありません,申し訳ありません,I’m sorry / Excuse me
L41,あずかります,預かります,keep / receive (a thing) in trust
L41,せんじつ,先日,the other day
L41,たすかります,助かります,be of help
L41,むかしばなし,昔話,old tale / folklore
L41,ある～,,a certain ~ / one ~
L41,おとこ,男,man
L41,こどもたち,子どもたち,children
L41,いじめます,,bully / abuse / ill-treat
L41,かめ,,turtle / tortoise
L41,たすけます,助けます,save / help
L41,[お]しろ,[お]城,castle
L41,おひめさま,お姫様,princess
L41,たのしく,楽しく,happily / merrily
L41,くらします,暮らします,live / lead a life
L41,りく,陸,land / shore
L41,すると,,and / then
L41,けむり,煙,smoke
L41,まっしろ[な],真っ白[な],pure white
L41,なかみ,中身,content
L42,つつみます,包みます,wrap
L42,わかします,沸かします,boil
L42,まぜます,混ぜます,mix
L42,けいさんします,計算します,calculate
L42,あつい,厚い,thick
L42,うすい,薄い,thin
L42,べんごし,弁護士,lawyer / attorney
L42,おんがくか,音楽家,musician
L42,ふたり,二人,couple
L42,きょういく,教育,education
L42,れきし,歴史,history
L42,ぶんか,文化,culture
L42,しゃかい,社会,society
L42,ほうりつ,法律,law
L42,せんそう,戦争,war
L42,へいわ,平和,peace
L42,もくてき,目的,purpose
L42,あんぜん,安全,safety
L42,ろんぶん,論文,thesis / academic paper
L42,かんけい,関係,relation / connection
L42,ミキサー,,mixer / blender
L42,やかん,,kettle
L42,せんねき,栓抜き,cap opener
L42,かんきり,缶切り,can opener
L42,かんづめ,缶詰,canned food / tinned food
L42,ふろしき,,wrapping cloth used to carry things
L42,そろばん,,abacus
L42,たいおんけい,体温計,(clinical) thermometer
L42,ざいりょう,材料,material / ingredient
L42,いし,石,stone
L42,ピラミッド,,pyramid
L42,データ,,date
L42,ファイル,,file
L42,こくれん,国連,United Nations
L42,エリーゼのために,,For Elise
L42,ベートーベン,,Ludwig van Beethoven / German composer (1770-1827)
L42,ポーランド,,Poland
L42,ローン,,loan
L42,セット,,set
L42,あと,,the amount left unused / the rest
L42,カップラーメン,,instant Chinese noodles sold in a ready-to-use disposable container
L42,インスタントラーメン,,instant Chinese noodles
L42,なべ,,pan / pot
L42,どんぶり,,porcelain bowl / bowl of rice with food on top
L42,しょくひん,食品,food
L42,ちょうさ,調査,investigation / survey
L42,カップ,,cup
L42,また,,and
L42,～のかわりに,～の代わりに,in place of ~ / instead of ~
L42,どこでも,,in any place
L42,いまでは,今では,now
L43,ふえます[ゆしゅつが～],増えます[輸出が～],(exports) increase
L43,へります[ゆしゅつが～],減ります[輸出が～],(exports) decrease
L43,あがります[ねだんが～],上がります[値段が～],(the price) rise
L43,さがります[ねだんが～],下がります[値段が～],(the price) fall
L43,きれます[ひもが～],切れます,(a string) break / snap
L43,とれます[ボタンが～],,(a button) come off
L43,おちます[にもつが～],落ちます[荷物が～],(baggage) fall down
L43,なくなります[ガソリンが～],,(petrol / gasoline) run out / be lost
L43,じょうぶ[な],丈夫[な],strong / healthy
L43,へん[な],変[な],strange / peculiar
L43,しあわせ[な],幸せ[な],happy
L43,うまい,,tasty / good at
L43,まずい,,not tasty
L43,つまらない,,boring / uninteresting
L43,ガソリン,,petrol / gasoline
L43,ひ,火,fire
L43,だんぼう,暖房,heating
L43,れいぼう,冷房,air-conditioning
L43,センス（[ふくの]～があります）,,taste / sense (have good taste in [clothing])
L43,いまにも,今にも,at any moment (used to describe a situation just before it changes)
L43,わあ,,Oh! / Wow!
L43,かいいん,会員,member
L43,てきとう[な],適当[な],suitable / proper
L43,ねんれい,年齢,age
L43,しゅうにゅう,収入,income
L43,ぴったり,,exactly / just right
L43,そのうえ,,in addition to that / moreover
L43,～といいます,,(one’s name) is ~
L43,ばら,,rose
L43,ドライブ,,driving
L44,なきます,泣きます,cry
L44,わらいます,笑います,laugh / smile
L44,かわきます,乾きます,dry
L44,ぬれます,濡れます,get wet
L44,すべります,滑ります,slip
L44,おきます[じこが～],起きます[事故が～],(an accident) happen
L44,ちょうせつします,調節します,adjust
L44,あんぜん[な],安全[な],safe
L44,ていねい[な],丁寧[な],polite / courteous / careful
L44,こまかい,細かい,small / fine
L44,こい,濃い,strong (taste) / dark (color)
L44,うすい,薄い,weak (taste) / light (color)
L44,くうき,空気,air
L44,なみだ,涙,tear
L44,わしょく,和食,Japanese dish
L44,ようしょく,洋食,Western dish
L44,おかず,,side dish
L44,りょう,量,quantity
L44,～ばい,～倍,times
L44,はんぶん,半分,half
L44,シングル,,single room
L44,ツイン,,twin-bedded room
L44,たんす,,chest of drawers
L44,せんたくもの,洗濯物,washing / laundry
L44,りゆう,理由,reason
L44,どうなさいますか,,What can I do for you?
L44,カット,,haircut
L44,シャンプー,,shampoo
L44,どういうふうになさいますか,,How would you like it done?
L44,ショート,,short
L44,～みたいにしてください,,Do it like ~
L44,これでよろしいでしょうか,,Would this be all right?
L44,[どうも]おつかれさまでした,,Thank you for being patient
L44,いやがります,嫌がります,dislike
L44,また,,and
L44,じゅんじょ,順序,order
L44,ひょうげん,表現,expression
L44,たとえば,例えば,for example
L44,わかれます,別れます,part / separate
L44,これら,,these things
L44,えんぎがわるい,縁起が悪い,unlucky / ill-omened
L45,あやまります,謝ります,apologize
L45,あいます[じこに～],[事故～],encounter (an accident)
L45,しんじます,信じます,believe / trust
L45,よういします,用意します,prepare
L45,キャンセルします,,cancel
L45,うまくいきます,,go well
L45,ほしょうしょ,保証書,guarantee
L45,りょうしゅうしょ,領収書,receipt
L45,おくりもの[～をします],贈り物,gift / present (give a present)
L45,まちがいでんわ,まちがい電話,wrong (telephone) number
L45,キャンプ,,camp
L45,かかり,係,person in charge
L45,ちゅうし,中止,calling off / cancelling / suspension
L45,てん,点,point / score
L45,レバー,,lever
L45,[～えん]さつ,[～円]札,(~ yen) note / bill
L45,ちゃんと,,regularly / properly
L45,きゅうに,急に,suddenly
L45,たのしみにしています,楽しみにしています,be looking forward to / be expecting
L45,いじょうです,以上です,That’s all
L45,かかりいん,係員,person in charge / attendant
L45,コース,,course
L45,スタート,,start
L45,～い,～位,~ th (ranking)
L45,ゆうしょうします,優勝します,win the championship
L45,なやみ,悩み,trouble / worry
L45,めざまし[どけい],目覚まし[時計],alarm clock
L45,ねむります,眠ります,sleep
L45,めがさめます,目が覚めます,wake up
L45,だいがくせい,大学生,university student
L45,かいとう,回答,answer / reply
L45,なります,鳴ります,ring
L45,セットします,,set
L45,それでも,,nevertheless / for all that
L46,やきます,焼きます,bake / grill / toast
L46,わたします,渡します,hand over
L46,かえってきます,帰って来ます,come back
L46,でます[バスが～],出ます,(a bus) leave / depart
L46,るす,留守,absence
L46,たくはいびん,宅配便,delivery service
L46,げんいん,原因,cause
L46,ちゅうしゃ,注射,injection
L46,しょくよく,食欲,appetite
L46,パンフレット,,pamphlet
L46,ステレオ,,stereo
L46,こちら,,my place / my side
L46,～のところ,～の所,the place around ~
L46,ちょうど,,just / exactly
L46,たったいま,たった今,just now (used with the past tense; indicates completion)
L46,いまいいでしょうか,今いいでしょうか,May I bother you now?
L46,ガスサービスセンター,,gas service center
L46,ガスレンジ,,gas range / gas cooker
L46,ぐあい,具合,condition
L46,どちらさまでしょうか,どちら様でしょうか,Who is this / please?
L46,むかいます,向かいます,head for
L46,おまたせしました,お待たせしました,Sorry to have kept you waiting
L46,ちしき,知識,knowledge
L46,ほうこ,宝庫,treasury
L46,てにはいります[じょうほうが～],手に入ります[情報が～],(information) come in / reach
L46,システム,,system
L46,たとえば,例えば,for example
L46,キーワード,,key word
L46,いちぶぶん,一部分,one part
L46,にゅうりょくします,入力します,input
L46,びょう,秒,second
L46,でます[ほんが～],出ます[本が～],(a book) be published
L47,あつまります[ひとが～],集まります[人が～],(people) gather
L47,わかれます[ひとが～],別れます[人が～],(people) part / separate
L47,ながいきします,長生きします,live long
L47,します [おと/こえが～] [あじが～] [においが～],[音/声が～] [味が～],(song/voice) be heard taste smell
L47,さします[かさを～],[傘を～],put up (an umbrella)
L47,ひどい,,terrible / severe
L47,こわい,怖い,frightening / horrible
L47,てんきよほう,天気予報,weather forecast
L47,はっぴょう,発表,announcement / presentation
L47,じっけん,実験,experiment
L47,じんこう,人口,population
L47,におい,,smell
L47,かがく,科学,science
L47,いがく,医学,medicine / medical science
L47,ぶんがく,文学,literature
L47,パトカー,,patrol car
L47,きゅうきゅうしゃ,救急車,ambulance
L47,さんせい,賛成,approval / agreement
L47,はんたい,反対,objection / opposition
L47,だんせい,男性,male / man
L47,じょせい,女性,female / woman
L47,どうも,,it appears that (used when making a tentative judgement)
L47,～によると,,according to ~ (indicate the source of information)
L47,バリ[とう],[島],Bali (island) (in Indonesia)
L47,イラン,,Iran
L47,カリフォルニア,,California (in the USA)
L47,グアム,,Guam
L47,こいびと,恋人,sweetheart / girlfriend / boyfriend
L47,こんやくします,婚約します,get engaged
L47,あいて,相手,the other person
L47,しりあいます,知り合います,get acquainted
L47,へいきんじゅみょう,平均寿命,average lifespan
L47,くらべます[だんせいと～],比べます[男性と～],compare (with men)
L47,はかせ,博士,doctor
L47,のう,脳,brain
L47,ホルモン,,hormone
L47,けしょうひん,化粧品,cosmetics
L47,しらべ,調べ,survey / research
L47,けしょう[～をします],化粧,makeup (put on makeup)
L48,Word,Kanji,Meaning
L48,おろします,降ろします，下ろします,put down / lower
L48,とどけます,届けます,deliver / report
L48,せわをします,世話をします,take care of  ~
L48,いや[な],嫌[な],unwilling / reluctant
L48,きびしい,厳しい,strict / hard
L48,じゅく,塾,cram school
L48,スケジュール,,schedule
L48,せいと,生徒,pupil
L48,もの,者,person (referring to one’s relatives or subordinates)
L48,にゅうかん,入管,Immigration Bureau
L48,さいにゅうこくビザ,再入国ビザ,re-entry visa
L48,じゆうに,自由に,freely
L48,～かん,～間,for ~ (referring to duration)
L48,いいことですね,,That’s good
L48,おいそがしいですか,お忙しいですか,Are you busy? (used when talking to someone senior or older)
L48,ひさしぶり,久しぶり,after a long time
L48,えいぎょう,営業,business / sales
L48,これまでに,,by that time
L48,かまいません,,It’s all right / It doesn’t matter
L48,たのしみます,楽しみます,enjoy yourself
L48,もともと,,originally
L48,～せいき,～世紀,~ th century
L48,かわりをします,代わりをします,be a substitute / be a replacement
L48,スピード,,speed
L48,きょうそうします,競走します,race
L48,サーカス,,circus
L48,げい,芸,performance / trick
L48,うつくしい,美しい,beautiful
L48,すがた,姿,figure / appearance
L48,こころ,心,heart / mind
L48,とらえます,,catch
L48,～にとって,,for ~
L49,つとめます[かいしゃに～],勤めます[会社に～],work (for a company)
L49,やすみます,休みます,go to bed / sleep
L49,かけます[いすに～],掛けます,sit on (a chair)
L49,すごします,過ごします,spend (time) / pass (time)
L49,よります[ぎんこうに～],寄ります[銀行に～],drop into (a bank)
L49,いらっしゃいます,,be / go / come (respectful equivalent of います / いきますandきます)
L49,めしあがります,召し上がります,eat / drink (respectful equivalent of たべますand のみます)
L49,おっしゃいます,,say (respectful equivalent of いいます)
L49,なさいます,,do (respectful equivalent of します)
L49,ごらんになります,ご覧になります,see / look at (respectful equivalent of みます)
L49,ごぞんじです,ご存じです,know (respectful equivalent of しっています)
L49,あいさつ[～をします],,greeting / address (greet / give an address)
L49,はいざら,灰皿,ashtray
L49,りょかん,旅館,Japanese-style hotel or inn
L49,かいじょう,会場,meeting place / hall
L49,バスてい,バス停,bus stop
L49,ぼうえき,貿易,trade
L49,～さま,～様,(respectful equivalent of ～さん)
L49,かえりに,帰りに,on the way back
L49,たまに,,once in a while
L49,ちょっとも,,not at all (used with negatives)
L49,えんりょなく,遠慮なく,without reserve / without hesitation
L49,～ねん～くみ,～年～組,class ~ of ~ th grade
L49,では,,well / then (polite equivalent of じゃ)
L49,だします[ねつを～],出します[熱を～],run (a fever)
L49,よろしくおつたえください,よろしくお伝えください,Give my best regards / Please say hello
L49,しつれいいたします,失礼いたします,Good-bye (humble equivalent ofしつれいします )
L49,ひまわりしょうがっこう,ひまわり小学校,fictitious elementary school
L49,こうし,講師,lecturer
L49,おおくの～,多くの～,many ~ / much ~
L49,さくひん,作品,work (of art / etc.)
L49,じゅしょうします,受賞します,be awarded a prize
L49,せかいてきに,世界的に,world-wide
L49,さっか,作家,novelist / writer
L49,～でいらっしゃいます,,be (respectful equivalent of です)
L49,ちょうなん,長男,one’s eldest son
L49,しょうがい,障害,handicap / defect
L49,おもちです,お持ちです,have (equivalent way of saying もっています)
L49,さっきょく,作曲,composition (music)
L49,かつどう,活動,activity
L49,それでは,,well / so (indicating an end or beginning)
L49,おおえけんざぶろう,大江健三郎,Japanese novelist (1935 – )
L49,とうきょうだいがく,東京大学,Tokyo University
L49,ノーベルぶんがくしょう,ノーベル文学賞,Nobel Prize for literature
L50,まいります,参ります,go / come (humble equivalent of いきますand きます)
L50,おります,,be (humble equivalent of います)
L50,いただきます,,eat / drink / receive (humble equivalent of たべます / のみますand もらいます)
L50,もうします,申します,say (humble equivalent of いいます)
L50,いたします,,do (humble equivalent of します)
L50,はいけんします,拝見します,see (humble equivalent of みます)
L50,ぞんじます,存じます,know (humble equivalent of しります)
L50,うかがいます,伺います,ask / hear / visit (humble equivalent of ききますandいきます )
L50,おめにかかります,お目にかかります,meet (humble equivalent of あいます)
L50,ございます,,be (polite equivalent of あります)
L50,～でございます,,be (polite equivalent of ～です)
L50,わたくし,私,I (humble equivalent of わたし)
L50,ガイド,,guide
L50,おたく,お宅,someone else’s house
L50,こうがい,郊外,suburbs
L50,アルバム,,album
L50,さらいしゅう,さ来週,the week after next
L50,さらいげつ,さ来月,the month after next
L50,さらいねん,さ来年,the year after next
L50,はんとし,半年,half a year
L50,さいしょに,最初に,first of all
L50,さいごに,最後に,lastly
L50,ただいま,ただ今,now
L50,えどとうきょうはくぶつかん,江戸東京博物館,Edo-Tokyo Museum
L50,きんちょうします,緊張します,become tense / be strained
L50,ほうそうします,放送します,broadcast
L50,とります[ビデオに～],撮ります,record (on video)
L50,しょうきん,賞金,prize money
L50,しぜん,自然,nature
L50,きりん,,giraffe
L50,ぞう,象,elephant
L50,ころ,,times / days
L50,かないます[ゆめが～],[夢が～],(dream) be realized
L50,ひとことよろしいでしょうか,,May I say one word?
L50,きょうりょくします,協力します,cooperate
L50,こころから,心から,from my heart
L50,かんしゃします,感謝します,be grateful / be thankful
L50,[お]れい,[お]礼,gratitude / thanks
L50,はいけい,拝啓,Dear ~
L50,うつくしい,美しい,beautiful
